##buy_0 444
1.09082,1.09039,1.09085,1.09029,1477634400.0
1.09038,1.09025,1.09072,1.09011,1477638000.0
1.09026,1.09126,1.09181,1.08988,1477641600.0
1.09125,1.09157,1.09244,1.0912,1477645200.0
1.09156,1.09055,1.09213,1.09032,1477648800.0
1.09052,1.09083,1.09141,1.09021,1477652400.0
1.09087,1.09136,1.09155,1.09069,1477656000.0
1.09134,1.09205,1.09216,1.09133,1477659600.0
1.09204,1.09262,1.09349,1.0911,1477663200.0
1.09262,1.09277,1.09322,1.09118,1477666800.0
1.09277,1.09265,1.09496,1.09201,1477670400.0
1.09266,1.09333,1.09342,1.09235,1477674000.0
1.09332,1.09393,1.0946,1.09328,1477677600.0
1.09394,1.09848,1.0991,1.09385,1477681200.0
1.09846,1.09789,1.0989,1.09652,1477684800.0
1.09785,1.09823,1.09841,1.09753,1477688400.0
1.09826,1.09846,1.09897,1.09812,1477692000.0
1.09827,1.09774,1.09899,1.09771,1477872000.0
1.09773,1.09814,1.09857,1.09751,1477875600.0
1.09814,1.09701,1.09818,1.09667,1477879200.0
1.09704,1.09691,1.09749,1.09661,1477882800.0
1.09691,1.09628,1.09693,1.09606,1477886400.0
1.09628,1.09682,1.097,1.09605,1477890000.0
1.0968,1.09681,1.09696,1.09655,1477893600.0
1.09681,1.09686,1.09715,1.09669,1477897200.0
1.09687,1.09597,1.0969,1.09597,1477900800.0
1.09598,1.09604,1.0965,1.09551,1477904400.0
1.09604,1.09519,1.09619,1.09497,1477908000.0
1.09518,1.09531,1.09563,1.09476,1477911600.0
1.09529,1.09543,1.09561,1.09504,1477915200.0
1.09547,1.095,1.09548,1.09448,1477918800.0
1.09501,1.09438,1.09519,1.09431,1477922400.0
1.09439,1.0947,1.09498,1.09384,1477926000.0
1.0947,1.09402,1.09495,1.09361,1477929600.0
1.09402,1.09609,1.09624,1.09354,1477933200.0
1.09607,1.09651,1.09674,1.09567,1477936800.0
1.09652,1.09627,1.0968,1.09593,1477940400.0
1.09626,1.09643,1.09763,1.09626,1477944000.0
1.09643,1.09756,1.09794,1.09643,1477947600.0
1.09755,1.09785,1.09821,1.09755,1477951200.0
