1.13518	1.13557	1.13598	1.13506	1641211200.0
1.13556	1.13551	1.13593	1.1350500000000001	1641213000.0
1.13555	1.13605	1.1366100000000001	1.1351499999999999	1641214800.0
1.13605	1.13557	1.13625	1.13518	1641216600.0
1.13558	1.1353900000000001	1.13563	1.13498	1641218400.0
1.1353900000000001	1.13585	1.13595	1.13471	1641220200.0
1.13585	1.13628	1.13631	1.135	1641222000.0
1.13629	1.13504	1.1364	1.13456	1641223800.0
1.13504	1.1326100000000001	1.13519	1.13246	1641225600.0
1.1326100000000001	1.13062	1.13291	1.13	1641227400.0
1.13066	1.12959	1.13094	1.12916	1641229200.0
1.12958	1.12918	1.13014	1.12904	1641231000.0
1.12919	1.12927	1.12988	1.12888	1641232800.0
1.12926	1.12888	1.12957	1.1283	1641234600.0
1.12888	1.12816	1.12902	1.12795	1641236400.0
1.12815	1.12837	1.1287	1.12795	1641238200.0
1.12837	1.12909	1.12918	1.12829	1641240000.0
1.12909	1.12948	1.12969	1.12906	1641241800.0
1.12948	1.12979	1.12984	1.12936	1641243600.0
1.12979	1.1297	1.12995	1.12948	1641245400.0
1.12967	1.1296599999999999	1.12991	1.12959	1641247200.0
1.1296599999999999	1.12963	1.13003	1.12938	1641249000.0
1.12963	1.12969	1.1297	1.12941	1641250800.0
1.12969	1.12971	1.12989	1.12962	1641252600.0
1.12961	1.12931	1.12961	1.1292	1641254400.0
1.12931	1.12938	1.1295600000000001	1.1293	1641256200.0
1.1294	1.12988	1.1299299999999999	1.1294	1641258000.0
1.12988	1.13016	1.1301700000000001	1.12945	1641259800.0
1.13016	1.13038	1.13068	1.13011	1641261600.0
1.13039	1.13055	1.13061	1.13035	1641263400.0
